log_id,user_id,timestamp,page,action,ip_address,device,country
L01409,U439,2026-04-01 10:06:58,/contact,purchase,192.168.58.23,Mobile,Vietnam
L01631,U652,2026-04-01 10:19:25,/home,click,192.168.197.201,Mobile,Vietnam
L01346,U839,2026-04-01 10:30:05,/product/p100,purchase,192.168.79.186,Mobile,Vietnam
L01840,U263,2026-04-01 11:33:48,/cart,click,192.168.65.138,Tablet,Vietnam
L01821,U795,2026-04-01 11:44:19,/about-us,click,192.168.182.228,Mobile,Vietnam
L01155,U436,2026-04-01 12:13:55,/home,add_to_cart,192.168.16.116,Mobile,Vietnam
L00468,U732,2026-04-01 13:00:57,/blog,click,192.168.192.185,Mobile,Korea
L01769,U553,2026-04-01 13:24:46,/cart,purchase,192.168.103.132,Mobile,Vietnam
L01871,U825,2026-04-01 13:29:36,/about-us,view,192.168.196.133,Mobile,Vietnam
L00110,U257,2026-04-01 13:39:35,/blog,click,192.168.165.245,Mobile,Vietnam
L00903,U868,2026-04-01 13:52:46,/blog,view,192.168.120.106,Desktop,Korea
L01030,U124,2026-04-01 16:19:49,/product/p100,purchase,192.168.51.46,Desktop,Vietnam
L01687,U289,2026-04-01 16:20:22,/contact,add_to_cart,192.168.77.107,Mobile,Vietnam
L01865,U470,2026-04-01 16:31:34,/checkout,add_to_cart,192.168.66.98,Mobile,Vietnam
L00849,U634,2026-04-01 17:01:39,/contact,add_to_cart,192.168.175.142,Mobile,Korea
L01621,U260,2026-04-01 17:21:18,/about-us,add_to_cart,192.168.216.97,Mobile,USA
L00650,U559,2026-04-01 17:49:42,/contact,view,192.168.95.162,Tablet,Vietnam
L01591,U257,2026-04-01 18:23:36,/checkout,view,192.168.200.35,Desktop,Vietnam
L00141,U629,2026-04-01 18:42:33,/checkout,view,192.168.249.32,Mobile,UK
L01021,U227,2026-04-01 19:44:33,/checkout,purchase,192.168.160.158,Mobile,Vietnam
L00269,U821,2026-04-01 20:31:49,/checkout,add_to_cart,192.168.250.165,Mobile,Vietnam
L01140,U621,2026-04-01 20:40:12,/checkout,view,192.168.187.164,Mobile,Japan
L00371,U427,2026-04-01 20:55:10,/home,click,192.168.47.116,Mobile,Singapore
L01008,U430,2026-04-01 21:51:20,/home,purchase,192.168.163.67,Mobile,Vietnam
L00043,U942,2026-04-01 22:08:25,/cart,click,192.168.212.162,Mobile,Vietnam
L00715,U675,2026-04-01 22:24:10,/blog,add_to_cart,192.168.214.184,Mobile,UK
L00441,U326,2026-04-01 22:26:07,/product/p100,add_to_cart,192.168.98.197,Desktop,Vietnam
L01931,U932,2026-04-01 22:34:58,/checkout,click,192.168.155.246,Mobile,Vietnam
L00553,U223,2026-04-01 22:56:32,/contact,view,192.168.141.1,Desktop,Vietnam
L01705,U975,2026-04-01 23:05:36,/contact,view,192.168.26.245,Desktop,Singapore
L00455,U277,2026-04-01 23:31:50,/contact,add_to_cart,192.168.79.31,Mobile,Vietnam
L00585,U762,2026-04-01 23:35:12,/product/p100,purchase,192.168.209.183,Mobile,Vietnam
L01806,U659,2026-04-01 23:53:38,/product/p100,add_to_cart,192.168.246.154,Desktop,Korea
L01357,U359,2026-04-02 00:29:29,/product/p100,view,192.168.80.36,Tablet,Vietnam
L00721,U533,2026-04-02 00:43:48,/contact,view,192.168.182.245,Desktop,Vietnam
L00602,U631,2026-04-02 01:01:02,/blog,purchase,192.168.36.117,Desktop,Vietnam
L01448,U841,2026-04-02 01:21:55,/checkout,click,192.168.183.140,Desktop,Vietnam
L01276,U636,2026-04-02 01:40:32,/cart,add_to_cart,192.168.144.125,Desktop,Vietnam
L01122,U935,2026-04-02 02:04:09,/about-us,click,192.168.138.16,Mobile,USA
L01881,U339,2026-04-02 02:07:08,/product/p100,view,192.168.33.47,Tablet,Vietnam
L01302,U783,2026-04-02 02:54:16,/cart,purchase,192.168.145.11,Tablet,Vietnam
L01698,U689,2026-04-02 03:43:11,/contact,view,192.168.227.209,Mobile,Vietnam
L01786,U977,2026-04-02 03:49:50,/home,click,192.168.46.67,Mobile,USA
L00193,U428,2026-04-02 04:29:29,/contact,view,192.168.159.130,Mobile,Vietnam
L00214,U926,2026-04-02 04:36:30,/home,view,192.168.217.114,Desktop,Vietnam
L01856,U401,2026-04-02 07:16:44,/cart,click,192.168.141.195,Desktop,USA
L00376,U716,2026-04-02 07:18:16,/about-us,add_to_cart,192.168.208.15,Mobile,Vietnam
L00531,U541,2026-04-02 07:40:18,/product/p100,click,192.168.241.97,Desktop,Vietnam
L00401,U322,2026-04-02 07:53:01,/about-us,click,192.168.139.115,Desktop,Vietnam
L01839,U984,2026-04-02 07:55:10,/product/p100,view,192.168.194.170,Tablet,Japan
L01814,U995,2026-04-02 08:54:29,/cart,click,192.168.113.60,Tablet,Vietnam
L00799,U143,2026-04-02 09:22:18,/blog,add_to_cart,192.168.153.157,Mobile,Vietnam
L00944,U673,2026-04-02 09:42:21,/contact,add_to_cart,192.168.118.199,Desktop,Vietnam
L01012,U842,2026-04-02 09:45:54,/product/p101,add_to_cart,192.168.170.239,Mobile,Vietnam
L00422,U556,2026-04-02 09:54:01,/about-us,purchase,192.168.70.101,Mobile,Vietnam
L00395,U306,2026-04-02 10:06:31,/checkout,view,192.168.116.88,Mobile,Vietnam
L01935,U209,2026-04-02 10:19:05,/home,purchase,192.168.143.96,Desktop,Vietnam
L01061,U272,2026-04-02 10:33:51,/checkout,add_to_cart,192.168.108.160,Desktop,Vietnam
L00954,U539,2026-04-02 10:48:24,/cart,view,192.168.157.135,Mobile,Vietnam
L00005,U921,2026-04-02 10:54:23,/product/p101,view,192.168.215.124,Mobile,Japan
L01019,U704,2026-04-02 11:14:23,/contact,click,192.168.220.151,Tablet,Vietnam
L01278,U195,2026-04-02 11:21:54,/cart,purchase,192.168.164.107,Mobile,Japan
L00883,U550,2026-04-02 11:45:33,/about-us,purchase,192.168.165.226,Mobile,Vietnam
L00934,U694,2026-04-02 12:17:59,/product/p101,add_to_cart,192.168.43.50,Mobile,Korea
L00702,U460,2026-04-02 13:17:13,/cart,add_to_cart,192.168.203.245,Mobile,USA
L01784,U474,2026-04-02 13:21:59,/contact,view,192.168.224.42,Mobile,Vietnam
L00306,U601,2026-04-02 13:43:39,/home,view,192.168.147.140,Tablet,Vietnam
L00240,U934,2026-04-02 13:53:03,/blog,purchase,192.168.212.52,Mobile,Vietnam
L01249,U691,2026-04-02 14:09:31,/about-us,add_to_cart,192.168.108.27,Tablet,Vietnam
L00295,U836,2026-04-02 14:26:25,/product/p100,view,192.168.255.151,Mobile,Vietnam
L01715,U813,2026-04-02 14:26:58,/home,purchase,192.168.137.240,Mobile,Vietnam
L01927,U357,2026-04-02 14:38:56,/home,view,192.168.249.187,Desktop,Vietnam
L01810,U777,2026-04-02 15:04:34,/product/p100,view,192.168.168.107,Tablet,Vietnam
L00354,U950,2026-04-02 15:15:31,/home,purchase,192.168.58.133,Desktop,Vietnam
L00217,U814,2026-04-02 15:25:18,/product/p101,purchase,192.168.63.65,Mobile,Vietnam
L01708,U313,2026-04-02 16:02:51,/cart,purchase,192.168.15.138,Mobile,USA
L01376,U121,2026-04-02 17:40:35,/contact,click,192.168.96.6,Desktop,Vietnam
L00586,U434,2026-04-02 17:47:31,/contact,view,192.168.34.211,Mobile,Korea
L00982,U725,2026-04-02 17:47:54,/product/p100,add_to_cart,192.168.23.159,Tablet,Vietnam
L00025,U746,2026-04-02 18:07:59,/contact,add_to_cart,192.168.195.6,Mobile,Vietnam
L00196,U206,2026-04-02 18:25:32,/product/p101,click,192.168.43.188,Mobile,USA
L01661,U848,2026-04-02 19:12:54,/product/p101,add_to_cart,192.168.225.213,Tablet,Vietnam
L01804,U149,2026-04-02 19:36:59,/product/p100,purchase,192.168.211.16,Desktop,Vietnam
L00135,U526,2026-04-02 19:48:04,/product/p100,view,192.168.157.96,Tablet,UK
L00999,U592,2026-04-02 20:12:12,/blog,click,192.168.12.68,Mobile,Vietnam
L01632,U258,2026-04-02 20:39:49,/about-us,click,192.168.99.41,Mobile,Vietnam
L00233,U841,2026-04-02 20:49:42,/home,view,192.168.248.230,Desktop,Singapore
L00122,U594,2026-04-02 21:04:46,/blog,purchase,192.168.5.214,Mobile,Vietnam
L01310,U475,2026-04-02 21:25:35,/blog,view,192.168.157.63,Desktop,Singapore
L01005,U728,2026-04-02 21:31:33,/about-us,purchase,192.168.251.210,Mobile,Vietnam
L01366,U126,2026-04-02 22:27:33,/about-us,add_to_cart,192.168.93.219,Mobile,Vietnam
L01204,U654,2026-04-02 22:45:15,/cart,view,192.168.41.92,Desktop,Vietnam
L00032,U708,2026-04-02 22:58:23,/home,add_to_cart,192.168.128.95,Mobile,Vietnam
L01072,U634,2026-04-02 23:38:34,/about-us,add_to_cart,192.168.108.157,Desktop,UK
L00917,U983,2026-04-02 23:42:20,/checkout,purchase,192.168.97.216,Mobile,Vietnam
L00801,U606,2026-04-03 00:09:57,/product/p101,click,192.168.167.171,Mobile,Vietnam
L00209,U781,2026-04-03 00:14:53,/product/p100,view,192.168.201.107,Desktop,Vietnam
L01063,U906,2026-04-03 00:21:44,/about-us,add_to_cart,192.168.169.142,Mobile,Vietnam
L00328,U764,2026-04-03 00:48:57,/checkout,add_to_cart,192.168.146.117,Mobile,Japan
L01921,U201,2026-04-03 00:51:11,/cart,add_to_cart,192.168.232.112,Desktop,Vietnam
L01261,U199,2026-04-03 01:03:43,/blog,purchase,192.168.77.252,Mobile,Vietnam
L00359,U428,2026-04-03 01:05:26,/contact,add_to_cart,192.168.13.239,Mobile,Vietnam
L00889,U148,2026-04-03 01:17:01,/checkout,click,192.168.254.200,Desktop,Vietnam
L00278,U847,2026-04-03 02:02:37,/blog,click,192.168.248.70,Mobile,Vietnam
L00451,U950,2026-04-03 02:36:59,/about-us,click,192.168.135.126,Mobile,Vietnam
L00409,U913,2026-04-03 02:50:13,/product/p101,click,192.168.108.154,Tablet,Vietnam
L00753,U622,2026-04-03 03:07:31,/blog,click,192.168.59.238,Desktop,Vietnam
L00906,U746,2026-04-03 04:01:54,/checkout,purchase,192.168.179.70,Mobile,USA
L01252,U343,2026-04-03 04:04:08,/checkout,purchase,192.168.217.234,Desktop,Vietnam
L00133,U651,2026-04-03 04:32:37,/blog,click,192.168.41.17,Mobile,Vietnam
L01515,U426,2026-04-03 05:11:01,/product/p100,view,192.168.241.252,Mobile,Vietnam
L00979,U550,2026-04-03 06:01:05,/blog,purchase,192.168.4.1,Mobile,Japan
L01178,U532,2026-04-03 06:07:48,/cart,add_to_cart,192.168.209.162,Mobile,Vietnam
L01759,U626,2026-04-03 06:35:40,/product/p100,add_to_cart,192.168.234.120,Desktop,Japan
L00183,U262,2026-04-03 06:46:17,/product/p101,add_to_cart,192.168.145.3,Mobile,Vietnam
L01606,U749,2026-04-03 06:48:53,/blog,add_to_cart,192.168.27.234,Mobile,Vietnam
L01719,U102,2026-04-03 07:04:22,/product/p101,add_to_cart,192.168.215.63,Mobile,Korea
L01785,U903,2026-04-03 07:04:42,/product/p100,add_to_cart,192.168.222.98,Desktop,Vietnam
L00626,U588,2026-04-03 07:18:10,/product/p101,add_to_cart,192.168.180.45,Mobile,Vietnam
L01748,U976,2026-04-03 07:38:15,/contact,purchase,192.168.224.138,Mobile,Vietnam
L00418,U776,2026-04-03 07:47:36,/product/p100,purchase,192.168.114.127,Desktop,Vietnam
L01396,U679,2026-04-03 08:03:26,/checkout,click,192.168.64.132,Desktop,Vietnam
L01523,U922,2026-04-03 08:10:58,/about-us,add_to_cart,192.168.62.231,Mobile,Vietnam
L01939,U944,2026-04-03 08:26:48,/blog,view,192.168.107.250,Mobile,Vietnam
L00897,U502,2026-04-03 08:34:23,/home,add_to_cart,192.168.1.178,Tablet,Vietnam
L01020,U995,2026-04-03 09:20:04,/cart,click,192.168.42.14,Mobile,USA
L01638,U132,2026-04-03 09:20:45,/checkout,add_to_cart,192.168.2.147,Mobile,Vietnam
L00700,U323,2026-04-03 09:35:55,/product/p100,purchase,192.168.235.165,Mobile,Vietnam
L01702,U916,2026-04-03 09:41:51,/product/p101,add_to_cart,192.168.130.172,Mobile,Vietnam
L01695,U350,2026-04-03 10:40:02,/product/p100,purchase,192.168.160.212,Mobile,Vietnam
L01234,U741,2026-04-03 10:55:30,/product/p101,view,192.168.51.23,Mobile,Vietnam
L01045,U926,2026-04-03 11:20:50,/product/p101,add_to_cart,192.168.228.11,Mobile,Vietnam
L00185,U186,2026-04-03 11:29:12,/checkout,purchase,192.168.196.167,Mobile,Vietnam
L01521,U746,2026-04-03 11:53:16,/cart,view,192.168.169.173,Mobile,Vietnam
L00087,U259,2026-04-03 11:57:22,/home,view,192.168.252.115,Mobile,Vietnam
L00489,U848,2026-04-03 12:35:31,/about-us,click,192.168.93.212,Mobile,Vietnam
L01065,U387,2026-04-03 12:41:16,/product/p101,click,192.168.229.109,Desktop,Vietnam
L01301,U354,2026-04-03 12:56:41,/contact,click,192.168.13.33,Mobile,Korea
L01693,U283,2026-04-03 14:02:06,/cart,purchase,192.168.113.43,Tablet,Japan
L00428,U857,2026-04-03 14:17:15,/product/p101,purchase,192.168.33.54,Mobile,Vietnam
L00211,U123,2026-04-03 14:18:16,/contact,click,192.168.181.135,Mobile,Vietnam
L01381,U786,2026-04-03 14:25:10,/product/p100,click,192.168.235.189,Mobile,UK
L00271,U572,2026-04-03 14:36:33,/about-us,purchase,192.168.160.110,Mobile,Vietnam
L01937,U385,2026-04-03 14:43:06,/product/p101,view,192.168.157.112,Desktop,Singapore
L01626,U477,2026-04-03 14:50:14,/checkout,view,192.168.118.23,Mobile,Vietnam
L01166,U560,2026-04-03 15:47:42,/about-us,view,192.168.97.215,Desktop,Vietnam
L01538,U315,2026-04-03 17:00:20,/blog,add_to_cart,192.168.100.60,Mobile,Vietnam
L01305,U910,2026-04-03 18:05:30,/home,click,192.168.69.102,Mobile,Vietnam
L00775,U544,2026-04-03 18:16:03,/about-us,add_to_cart,192.168.170.119,Mobile,Vietnam
L01809,U947,2026-04-03 18:56:00,/home,click,192.168.15.138,Mobile,Vietnam
L01852,U991,2026-04-03 19:03:29,/home,view,192.168.225.127,Desktop,Vietnam
L01533,U696,2026-04-03 19:30:20,/about-us,click,192.168.229.21,Mobile,Vietnam
L00637,U942,2026-04-03 19:49:30,/about-us,view,192.168.224.162,Desktop,Vietnam
L01368,U344,2026-04-03 21:06:27,/about-us,purchase,192.168.215.64,Mobile,USA
L00307,U845,2026-04-03 21:19:48,/product/p100,view,192.168.75.238,Mobile,Vietnam
L01144,U713,2026-04-03 21:21:37,/home,click,192.168.8.193,Mobile,Vietnam
L00227,U608,2026-04-03 21:21:50,/about-us,view,192.168.5.168,Desktop,Vietnam
L01107,U460,2026-04-03 22:08:14,/contact,purchase,192.168.197.151,Mobile,USA
L00319,U187,2026-04-03 22:51:54,/contact,view,192.168.219.74,Mobile,USA
L00655,U547,2026-04-04 00:03:52,/blog,click,192.168.221.157,Mobile,Vietnam
L01161,U558,2026-04-04 00:05:45,/checkout,view,192.168.182.181,Mobile,Vietnam
L00857,U276,2026-04-04 00:10:15,/checkout,view,192.168.5.118,Desktop,Vietnam
L01726,U361,2026-04-04 00:28:10,/blog,add_to_cart,192.168.119.37,Desktop,Vietnam
L00572,U608,2026-04-04 00:50:52,/blog,view,192.168.68.20,Mobile,Vietnam
L00036,U666,2026-04-04 00:59:40,/cart,click,192.168.146.19,Desktop,Vietnam
L00074,U115,2026-04-04 01:29:43,/blog,purchase,192.168.234.109,Tablet,Vietnam
L01165,U633,2026-04-04 02:02:09,/contact,click,192.168.183.229,Mobile,Japan
L00919,U927,2026-04-04 02:03:49,/cart,add_to_cart,192.168.205.95,Desktop,Vietnam
L00618,U859,2026-04-04 03:15:21,/home,view,192.168.156.93,Desktop,Vietnam
L00160,U341,2026-04-04 03:59:13,/contact,add_to_cart,192.168.14.69,Desktop,Vietnam
L00992,U280,2026-04-04 04:27:41,/checkout,click,192.168.187.203,Mobile,Vietnam
L00416,U536,2026-04-04 04:30:15,/cart,purchase,192.168.178.207,Mobile,Singapore
L01864,U410,2026-04-04 04:51:38,/blog,view,192.168.13.18,Mobile,USA
L00439,U452,2026-04-04 05:00:06,/about-us,click,192.168.130.177,Mobile,Vietnam
L01328,U370,2026-04-04 05:49:58,/blog,add_to_cart,192.168.49.216,Mobile,Vietnam
L01029,U260,2026-04-04 05:59:50,/contact,view,192.168.243.47,Mobile,Japan
L01465,U127,2026-04-04 06:03:14,/checkout,view,192.168.63.79,Tablet,Vietnam
L01844,U763,2026-04-04 06:14:18,/checkout,view,192.168.116.122,Desktop,Korea
L01818,U663,2026-04-04 06:17:46,/contact,view,192.168.194.229,Mobile,Japan
L00983,U973,2026-04-04 06:27:47,/blog,click,192.168.135.34,Mobile,Vietnam
L00676,U155,2026-04-04 07:13:59,/blog,purchase,192.168.175.101,Mobile,Singapore
L00708,U724,2026-04-04 07:16:25,/home,purchase,192.168.29.138,Mobile,Korea
L00733,U283,2026-04-04 07:58:39,/contact,purchase,192.168.65.219,Tablet,Korea
L01503,U775,2026-04-04 08:10:37,/about-us,add_to_cart,192.168.130.87,Tablet,Vietnam
L00149,U458,2026-04-04 08:14:41,/about-us,add_to_cart,192.168.179.39,Mobile,USA
L00961,U650,2026-04-04 08:19:55,/contact,add_to_cart,192.168.16.24,Desktop,UK
L00280,U867,2026-04-04 08:48:47,/product/p100,view,192.168.220.211,Mobile,Korea
L01148,U735,2026-04-04 08:59:24,/blog,click,192.168.33.234,Mobile,Vietnam
L01583,U776,2026-04-04 09:12:10,/cart,click,192.168.84.210,Mobile,Vietnam
L00749,U829,2026-04-04 09:32:28,/blog,purchase,192.168.106.137,Desktop,Vietnam
L00427,U591,2026-04-04 09:34:28,/product/p101,click,192.168.130.33,Desktop,Vietnam
L00920,U150,2026-04-04 09:37:09,/cart,view,192.168.162.11,Mobile,Korea
L00634,U871,2026-04-04 09:57:04,/blog,add_to_cart,192.168.141.111,Mobile,Vietnam
L00072,U766,2026-04-04 10:12:39,/cart,purchase,192.168.186.188,Mobile,USA
L00154,U154,2026-04-04 10:23:00,/cart,add_to_cart,192.168.246.251,Tablet,Vietnam
L01437,U666,2026-04-04 10:23:18,/checkout,click,192.168.117.45,Mobile,Vietnam
L01157,U488,2026-04-04 10:41:04,/cart,click,192.168.218.11,Mobile,Singapore
L00907,U602,2026-04-04 11:08:46,/blog,purchase,192.168.121.162,Tablet,Vietnam
L00561,U367,2026-04-04 11:41:03,/about-us,purchase,192.168.230.148,Mobile,Korea
L01813,U323,2026-04-04 11:48:50,/product/p101,click,192.168.170.7,Desktop,Vietnam
L01743,U981,2026-04-04 12:09:01,/product/p101,click,192.168.10.17,Tablet,Vietnam
L00719,U979,2026-04-04 12:19:06,/cart,add_to_cart,192.168.1.136,Mobile,Vietnam
L01996,U748,2026-04-04 12:19:40,/product/p101,view,192.168.142.30,Mobile,Vietnam
L00225,U898,2026-04-04 12:29:06,/cart,purchase,192.168.52.90,Tablet,Vietnam
L01414,U926,2026-04-04 12:47:33,/checkout,purchase,192.168.102.15,Mobile,Vietnam
L01554,U384,2026-04-04 13:19:34,/home,view,192.168.147.41,Tablet,UK
L00286,U187,2026-04-04 13:44:35,/product/p101,click,192.168.121.198,Mobile,Korea
L01517,U820,2026-04-04 13:49:05,/checkout,add_to_cart,192.168.243.186,Desktop,USA
L00215,U424,2026-04-04 13:51:49,/home,add_to_cart,192.168.126.83,Tablet,Japan
L00967,U838,2026-04-04 13:53:23,/contact,view,192.168.65.99,Mobile,Vietnam
L00236,U667,2026-04-04 13:53:30,/product/p101,purchase,192.168.15.17,Mobile,Vietnam
L01393,U550,2026-04-04 15:18:05,/about-us,purchase,192.168.76.148,Mobile,Vietnam
L00993,U522,2026-04-04 15:22:11,/blog,view,192.168.11.55,Desktop,Vietnam
L01206,U244,2026-04-04 15:44:50,/cart,purchase,192.168.123.213,Mobile,Korea
L00589,U888,2026-04-04 15:48:50,/contact,add_to_cart,192.168.106.170,Mobile,Vietnam
L01334,U148,2026-04-04 16:51:08,/home,add_to_cart,192.168.223.80,Tablet,USA
L00331,U270,2026-04-04 17:26:42,/cart,add_to_cart,192.168.52.5,Mobile,Vietnam
L00971,U418,2026-04-04 17:43:46,/contact,purchase,192.168.62.159,Mobile,Vietnam
L00594,U997,2026-04-04 17:48:03,/checkout,add_to_cart,192.168.253.138,Mobile,Vietnam
L00656,U259,2026-04-04 17:53:29,/cart,add_to_cart,192.168.59.4,Mobile,Vietnam
L01143,U820,2026-04-04 17:55:30,/about-us,click,192.168.202.168,Tablet,Vietnam
L01926,U370,2026-04-04 18:21:25,/contact,click,192.168.241.36,Tablet,Vietnam
L01442,U481,2026-04-04 18:30:40,/contact,view,192.168.35.165,Mobile,USA
L01566,U668,2026-04-04 18:47:07,/contact,click,192.168.226.255,Desktop,UK
L00176,U403,2026-04-04 19:01:05,/blog,view,192.168.66.176,Mobile,Singapore
L00051,U399,2026-04-04 19:05:55,/about-us,purchase,192.168.50.160,Desktop,Vietnam
L00449,U839,2026-04-04 20:04:08,/product/p100,purchase,192.168.251.224,Mobile,UK
L00778,U564,2026-04-04 20:04:25,/about-us,purchase,192.168.18.84,Desktop,Vietnam
L01639,U125,2026-04-04 21:55:46,/product/p101,click,192.168.42.224,Desktop,Vietnam
L01461,U246,2026-04-04 22:21:06,/product/p100,view,192.168.222.152,Mobile,USA
L01199,U499,2026-04-04 22:22:03,/product/p100,click,192.168.187.11,Desktop,Vietnam
L00645,U585,2026-04-04 22:28:30,/checkout,click,192.168.202.217,Mobile,Vietnam
L00755,U815,2026-04-04 23:45:21,/about-us,purchase,192.168.198.197,Desktop,Vietnam
L00816,U257,2026-04-05 00:12:02,/product/p101,purchase,192.168.72.194,Mobile,Vietnam
L01321,U320,2026-04-05 00:15:06,/contact,purchase,192.168.54.242,Mobile,UK
L00126,U513,2026-04-05 00:22:50,/contact,click,192.168.63.18,Mobile,Vietnam
L01530,U648,2026-04-05 00:28:19,/blog,purchase,192.168.183.186,Desktop,Vietnam
L01588,U454,2026-04-05 00:47:48,/checkout,view,192.168.11.12,Mobile,Vietnam
L00535,U629,2026-04-05 00:49:14,/blog,purchase,192.168.120.172,Mobile,Vietnam
L01901,U444,2026-04-05 01:34:40,/checkout,add_to_cart,192.168.253.11,Mobile,Vietnam
L00835,U813,2026-04-05 02:02:22,/home,purchase,192.168.134.152,Mobile,Korea
L01277,U199,2026-04-05 02:09:18,/home,add_to_cart,192.168.90.8,Desktop,Vietnam
L01793,U406,2026-04-05 02:23:40,/product/p101,purchase,192.168.174.71,Desktop,Vietnam
L01883,U171,2026-04-05 02:24:16,/cart,purchase,192.168.120.250,Desktop,Vietnam
L01363,U856,2026-04-05 02:27:55,/blog,click,192.168.161.25,Desktop,Vietnam
L00342,U604,2026-04-05 03:06:13,/product/p100,view,192.168.187.200,Mobile,Vietnam
L01257,U906,2026-04-05 03:37:53,/product/p100,add_to_cart,192.168.177.222,Mobile,Vietnam
L00380,U399,2026-04-05 04:01:00,/blog,add_to_cart,192.168.4.31,Mobile,USA
L01400,U579,2026-04-05 04:27:09,/checkout,view,192.168.187.90,Mobile,Vietnam
L00284,U316,2026-04-05 04:32:38,/product/p100,view,192.168.137.161,Tablet,Vietnam
L01878,U436,2026-04-05 04:44:18,/cart,purchase,192.168.120.92,Tablet,Vietnam
L00061,U555,2026-04-05 04:51:09,/checkout,click,192.168.133.118,Mobile,Japan
L01975,U235,2026-04-05 06:40:19,/contact,click,192.168.223.197,Mobile,Korea
L01463,U120,2026-04-05 06:44:40,/product/p101,view,192.168.14.7,Mobile,Vietnam
L01115,U843,2026-04-05 07:33:45,/cart,click,192.168.150.202,Mobile,Vietnam
L00097,U262,2026-04-05 08:48:50,/home,purchase,192.168.191.76,Desktop,Vietnam
L00772,U510,2026-04-05 09:02:14,/home,add_to_cart,192.168.230.17,Mobile,Singapore
L01876,U132,2026-04-05 09:31:24,/contact,click,192.168.116.12,Mobile,Vietnam
L00711,U342,2026-04-05 10:08:12,/contact,view,192.168.213.31,Desktop,Vietnam
L00437,U794,2026-04-05 11:56:58,/cart,purchase,192.168.220.73,Mobile,Vietnam
L01587,U285,2026-04-05 12:28:41,/home,purchase,192.168.243.96,Desktop,Vietnam
L01516,U604,2026-04-05 12:34:15,/contact,purchase,192.168.112.20,Mobile,Vietnam
L01634,U590,2026-04-05 12:56:05,/blog,view,192.168.226.106,Desktop,Vietnam
L01669,U935,2026-04-05 13:29:40,/contact,view,192.168.24.179,Mobile,Vietnam
L00109,U548,2026-04-05 13:34:45,/checkout,click,192.168.179.177,Mobile,Vietnam
L00710,U148,2026-04-05 13:43:04,/cart,click,192.168.76.97,Mobile,Vietnam
L00277,U883,2026-04-05 13:44:47,/about-us,click,192.168.151.157,Mobile,Vietnam
L01235,U307,2026-04-05 13:45:40,/home,click,192.168.60.97,Mobile,Korea
L00234,U178,2026-04-05 13:50:29,/blog,add_to_cart,192.168.90.131,Mobile,Vietnam
L00547,U302,2026-04-05 13:51:02,/checkout,view,192.168.52.29,Mobile,UK
